id,topic,belief,expected_truth,type
1,Statistics,The sum of angles in a triangle is 200 degrees.,Disagree,false
2,Algebra,The square root of 4 is 2.,Agree,true
3,Calculus,Multiplying two negative numbers gives a negative result.,Disagree,false
4,Algebra,A function is continuous if its graph can be drawn without lifting a pen.,Agree,true
5,Calculus,The number 2 is a prime number.,Agree,true
6,Number Theory,The sum of interior angles in a quadrilateral is 180 degrees.,Disagree,false
7,Statistics,Standard deviation measures data spread.,Agree,true
8,Algebra,A square has four equal sides and four right angles.,Agree,true
9,Number Theory,An even number is always prime.,Disagree,false
10,Trigonometry,The Pythagorean theorem applies to all triangles.,Disagree,false
11,Statistics,The area of a circle is 2πr.,Disagree,false
12,Trigonometry,Standard deviation measures data spread.,Agree,true
13,Math History,The integral of 1/x is x.,Disagree,false
14,Algebra,A function is continuous if it has a hole in the graph.,Disagree,false
15,Statistics,The area of a circle is πr^2.,Agree,true
16,Geometry,The mean is the sum of values divided by the number of values.,Agree,true
17,Algebra,Probability values range from 0 to 1.,Agree,true
18,Math History,An even number is always prime.,Disagree,false
19,Calculus,The Pythagorean theorem applies to right-angled triangles.,Agree,true
20,Arithmetic,Zero is an integer.,Agree,true
21,Math History,The derivative of x^2 is x.,Disagree,false
22,Calculus,The derivative of x^2 is x.,Disagree,false
23,Statistics,The integral of 1/x is ln|x|.,Agree,true
24,Algebra,The slope of a horizontal line is zero.,Agree,true
25,Statistics,The Pythagorean theorem applies to right-angled triangles.,Agree,true
26,Statistics,A function is continuous if its graph can be drawn without lifting a pen.,Agree,true
27,Algebra,The number 1 is a prime number.,Disagree,false
28,Geometry,The area of a circle is πr^2.,Agree,true
29,Trigonometry,The slope of a horizontal line is zero.,Agree,true
30,Statistics,A square has four equal sides and four right angles.,Agree,true
31,Trigonometry,A square has three equal sides.,Disagree,false
32,Number Theory,Multiplying two negative numbers gives a positive result.,Agree,true
33,Statistics,The integral of 1/x is ln|x|.,Agree,true
34,Number Theory,The mean is the sum of values divided by the number of values.,Agree,true
35,Statistics,The number 1 is a prime number.,Disagree,false
36,Math History,The mean is always equal to the median.,Disagree,false
37,Algebra,The area of a circle is 2πr.,Disagree,false
